file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA1,2.89,1,0,4,0,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA2,3.52,2,2,0,2.12,SA2_TA1,0.81,0,3,0.56,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA2,3.52,2,2,0,2.12,SA2_TA2,0.77,0,2,1.12,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA3,3.52,3,2,9,0.47,SA3_TA1,0.64,0,2,0.45,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA3,3.52,3,2,9,0.47,SA3_TA2,0.76,0,2,0.97,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA4,4.04,4,3,5,0.64,SA4_TA1,0.66,0,5,0.27,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA4,4.04,4,3,5,0.64,SA4_TA2,0.74,0,5,0.71,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA4,4.04,4,3,5,0.64,SA4_TA3,0.98,0,5,1.21,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA5,3.55,5,3,5,1.04,SA5_TA1,0.61,0,1,0.32,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA5,3.55,5,3,5,1.04,SA5_TA2,0.81,0,1,0.71,NV,NV,NV,NV
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129,SA5,3.55,5,3,5,1.04,SA5_TA3,0.79,0,3,1.21,NV,NV,NV,NV
