file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA9,9.5,7,2,12,1.91,SA9_TA1,2.04,0,3,0.93,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA9,9.5,7,2,12,1.91,SA9_TA2,2.13,0,3,2.92,NV,NV,NV,NV

10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA1,2.53,0,0,0.66,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA2,1.75,0,3,2.67,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA3,1.76,0,2,4.37,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA1,3.17,0,4,0.4,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA2,1.78,0,3,1.85,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA3,1.66,0,3,3.51,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA4,1.8,0,2,5.53,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA5,0.78,0,0,11.22,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA3,12.86,1,4,21,0.09,SA3_TA1,3.0,0,4,1.02,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA3,12.86,1,4,21,0.09,SA3_TA2,2.19,0,0,2.31,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA3,12.86,1,4,21,0.09,SA3_TA3,2.68,0,4,4.03,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA3,12.86,1,4,21,0.09,SA3_TA4,1.85,0,3,5.91,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA4,13.56,2,4,21,2.95,SA4_TA1,3.16,0,21,0.39,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA4,13.56,2,4,21,2.95,SA4_TA2,2.18,0,4,2.09,NV,NV,NV,NV
