ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
72,2142,1206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1009,455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1142,804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,398,1096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2450,476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1357,612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1962,470,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,740,1231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2009,775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1599,490,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2432,1573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2147,1162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2102,847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1455,769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1634,539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1615,420,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1555,1825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1631,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1958,1887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2087,1382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1405,753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1562,1774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1681,679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,844,1186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2326,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2125,1361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1638,698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1590,1537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1618,313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2126,808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1696,1452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1925,368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1639,467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,768,1253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1304,387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1700,1506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1436,680,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,206,1079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,484,1362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2099,1134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2443,548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1455,807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1975,1605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2066,1442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2785,419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1058,1614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2343,1721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2791,562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2040,1197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1123,1427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1684,1318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1695,892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1587,1729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2003,656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1087,681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2477,346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1158,725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2467,779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,417,809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1425,1021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1096,1564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2066,867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2059,953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,582,883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2501,713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,491,1122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2076,911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1118,1497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1041,513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,816,1228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2788,483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1926,314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1735,1350,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1207,964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2447,1213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1766,791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1671,827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1958,1793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1349,550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1767,1186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2105,1488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1976,582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2137,1397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,982,373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
