ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
143,1917,985,1.0,0.27,0.21,3.1,0.8,0.9,0.98,1.0,1.27
144,706,1284,2.0,0.96,0.27,14.69,2.58,0.41,0.43,0.77,3.63
145,2002,1192,2.0,0.62,0.42,12.07,2.05,0.53,0.82,0.84,1.48
146,2002,468,1.0,0.5,0.22,6.88,1.33,0.72,0.75,0.98,2.24
147,1111,1811,1.0,0.44,0.22,5.76,1.17,0.78,0.81,0.99,2.0
148,256,896,1.0,0.59,0.26,9.01,1.53,0.71,0.74,0.99,2.25
149,1274,460,1.0,0.43,0.24,5.93,1.17,0.79,0.84,0.99,1.83
150,499,1247,1.0,0.61,0.25,9.04,1.56,0.69,0.71,0.96,2.41
151,1400,1343,1.0,0.55,0.27,8.99,1.46,0.78,0.81,0.99,2.03
152,449,574,1.0,0.56,0.26,8.56,1.46,0.74,0.76,0.99,2.12
153,1299,512,2.0,0.98,0.3,15.12,2.41,0.48,0.46,0.83,3.29
154,1513,851,1.0,0.4,0.22,5.21,1.1,0.8,0.85,0.99,1.81
155,1367,527,1.0,0.49,0.24,6.71,1.28,0.76,0.78,0.98,2.07
156,984,1539,2.0,1.06,0.29,18.04,2.59,0.5,0.46,0.87,3.65
157,1100,295,1.0,0.49,0.27,7.6,1.32,0.8,0.83,0.99,1.86
158,2052,419,1.0,0.52,0.28,8.16,1.38,0.79,0.83,1.0,1.88
159,285,1303,1.0,0.54,0.28,8.63,1.42,0.79,0.82,1.0,1.91
160,1056,826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1504,708,1.0,0.25,0.21,2.87,0.76,0.92,0.99,1.0,1.21
162,1543,1308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,910,570,1.0,0.51,0.25,7.21,1.32,0.77,0.79,0.99,2.02
164,727,1318,1.0,0.41,0.22,5.63,1.13,0.81,0.84,0.98,1.84
165,501,799,2.0,0.91,0.31,14.34,2.45,0.44,0.5,0.68,2.93
166,2077,605,4.0,1.53,0.35,27.32,3.95,0.32,0.32,0.59,4.4
167,1350,1834,1.0,0.53,0.24,7.5,1.37,0.74,0.76,0.99,2.23
168,1362,1795,1.0,0.6,0.3,10.15,1.55,0.78,0.8,1.0,2.0
169,241,1244,1.0,0.56,0.29,8.93,1.46,0.77,0.82,0.99,1.91
170,666,670,1.0,0.49,0.3,7.97,1.33,0.83,0.89,1.0,1.65
171,595,1156,1.0,0.59,0.3,10.22,1.57,0.76,0.81,0.96,1.93
172,1142,1428,1.0,0.56,0.29,9.0,1.49,0.75,0.78,0.97,1.89
173,2031,445,1.0,0.48,0.27,7.18,1.3,0.79,0.84,0.98,1.75
174,1113,336,2.0,0.61,0.38,11.91,1.68,0.78,0.86,0.97,1.6
175,661,857,1.0,0.55,0.32,9.03,1.48,0.77,0.85,0.97,1.69
176,219,1135,1.0,0.44,0.25,6.29,1.2,0.81,0.85,0.98,1.75
177,1585,1162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,904,746,1.0,0.53,0.28,8.34,1.41,0.78,0.81,0.99,1.91
