ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
105,609,1150,1.0,0.65,0.29,9.37,1.67,0.72,0.74,0.99,2.23
106,1511,241,1.0,0.62,0.34,10.02,1.66,0.77,0.82,0.98,1.8
107,832,640,1.0,0.29,0.26,3.66,0.93,0.89,0.98,0.98,1.13
108,1118,505,1.0,0.65,0.31,9.73,1.66,0.75,0.78,1.0,2.11
109,448,262,1.0,0.53,0.23,6.66,1.39,0.73,0.76,0.99,2.31
110,1169,769,1.0,0.7,0.33,11.42,1.83,0.73,0.76,0.98,2.14
111,751,973,1.0,0.69,0.31,10.34,1.78,0.7,0.74,0.98,2.22
112,552,772,1.0,0.49,0.26,6.24,1.34,0.74,0.79,0.96,1.91
113,384,552,1.0,0.63,0.25,8.05,1.61,0.66,0.66,0.96,2.46
114,1279,620,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1226,470,1.0,0.69,0.34,11.59,1.8,0.76,0.78,0.99,2.02
116,482,296,1.0,0.49,0.25,6.41,1.33,0.77,0.82,0.99,1.92
117,745,445,1.0,0.64,0.29,8.97,1.63,0.72,0.74,0.99,2.22
118,1010,643,1.0,0.24,0.22,2.46,0.76,0.91,1.0,1.0,1.07
119,807,801,1.0,0.61,0.28,8.66,1.61,0.71,0.75,0.98,2.23
120,825,472,1.0,0.52,0.24,6.53,1.38,0.73,0.77,0.97,2.17
121,919,155,1.0,0.72,0.38,11.75,1.89,0.7,0.77,0.93,1.89
